county,name_short,neighbours,fa_region,skl_code,muni_group,name_long
Västra Götalands län,Stenungsund,"Kungälvs kommun,Uddevalla kommun,Orust kommun,Lilla Edets kommun",Mora,1415,Turism- och besöksnäringskommuner,Stenungsunds kommun
Stockholms län,Upplands-Bro,"Upplands Väsby kommun,Järfälla kommun,Ekerö kommun,Sigtuna kommun,Håbo kommun",Umeå,0139,Glesbygdkommuner,Upplands-Bro kommun
Skåne län,Eslöv,"Kävlinge kommun,Lunds kommun,Höörs kommun,Hörby kommun,Sjöbo kommun,Svalövs kommun,Klippans kommun",Östergötland,1285,Varuproducerande kommuner,Eslövs kommun
Jämtlands län,Krokom,"Åre kommun,Östersunds kommun,Strömsunds kommun",Malmö,2309,Pendlingskommuner,Krokoms kommun
Stockholms län,Värmdö,Nacka kommun,Arvidsjaur,0120,Kommuner i glesbefolkad region,Värmdö kommun
Västmanlands län,Norberg,"Smedjebackens kommun,Fagersta kommun,Sala kommun,Avesta kommun,Hedemora kommun",Göteborg,1962,Förortskommuner till storstäderna,Norbergs kommun
Västerbottens län,Malå,"Arvidsjaurs kommun,Norsjö kommun,Lycksele kommun,Sorsele kommun",Göteborg,2418,Förortskommuner till storstäderna,Malå kommun
Värmlands län,Kristinehamn,"Karlstads kommun,Storfors kommun,Gullspångs kommun,Laxå kommun,Degerfors kommun,Karlskoga kommun",Malmö,1781,Större städer,Kristinehamns kommun
Skåne län,Svedala,"Trelleborgs kommun,Burlövs kommun,Staffanstorps kommun,Lunds kommun,Malmö stad,Vellinge kommun,Skurups kommun",Hudiksvall,1263,Glesbygdkommuner,Svedala kommun
Södermanlands län,Nyköping,"Trosa kommun,Norrköpings kommun,Flens kommun,Katrineholms kommun,Gnesta kommun,Oxelösunds kommun",Göteborg,0480,Pendlingskommuner,Nyköpings kommun
Skåne län,Bjuv,"Helsingborgs stad,Svalövs kommun,Åstorps kommun",Stockholm,1260,Förortskommuner till storstäderna,Bjuvs kommun
Stockholms län,Haninge,"Nynäshamns kommun,Botkyrka kommun,Tyresö kommun,Huddinge kommun",Kalmar,0136,Förortskommuner till större städer,Haninge kommun
Dalarnas län,Smedjebacken,"Ludvika kommun,Lindesbergs kommun,Ljusnarsbergs kommun,Norbergs kommun,Fagersta kommun,Skinnskattebergs kommun,Säters kommun,Hedemora kommun",Västerås,2061,Större städer,Smedjebackens kommun
Västra Götalands län,Härryda,"Mölndals stad,Göteborgs stad,Partille kommun,Markaryds kommun,Bollebygds kommun,Kungsbacka kommun,Lerums kommun",Kalmar,1401,Större städer,Härryda kommun
Kronobergs län,Alvesta,"Tingsryds kommun,Växjö kommun,Ljungby kommun,Älmhults kommun,Sävsjö kommun,Värnamo kommun",Stockholm,0764,Förortskommuner till storstäderna,Alvesta kommun
Dalarnas län,Malung-Sälen,"Torsby kommun,Älvdalens kommun,Mora kommun,Vansbro kommun,Hagfors kommun,Filipstads kommun",Göteborg,2023,Förortskommuner till storstäderna,Malung-Sälens kommun
Kalmar län,Borgholm,Mörbylånga kommun,Stockholm,0885,Större städer,Borgholms kommun
Värmlands län,Karlstad,"Forshaga kommun,Kils kommun,Storfors kommun,Grums kommun,Kristinehamns kommun,Hammarö kommun,Hagfors kommun,Filipstads kommun",Malmö,1780,Förortskommuner till större städer,Karlstads kommun
Stockholms län,Nykvarn,"Strängnäs kommun,Södertälje kommun,Gnesta kommun",Borås,0140,Större städer,Nykvarns kommun
Södermanlands län,Strängnäs,"Nykvarns kommun,Eskilstuna kommun,Flens kommun,Gnesta kommun",Falun/Borlänge,0486,Kommuner i tätbefolkad region,Strängnäs kommun
Dalarnas län,Rättvik,"Orsa kommun,Leksands kommun,Mora kommun,Ljusdals kommun,Ovanåkers kommun,Falu kommun",Örebro,2031,Förortskommuner till större städer,Rättviks kommun
Stockholms län,Sundbyberg,"Sollentuna kommun,Stockholms stad,Solna stad",Avesta,0183,Varuproducerande kommuner,Sundbybergs stad
